# POS	ID	PosScore	NegScore
a	1740	0.0	0.0
a	2098	0.375	0.375
a	2312	0.0	0.0
a	2527	0.0	0.0
a	2730	0.125	0.0
a	2843	0.0	0.0
a	2956	0.0	0.0
a	3131	0.0	0.0
a	3356	0.125	0.0
a	3553	0.25	0.0
a	3700	0.25	0.125
a	3829	0.125	0.125
a	3939	0.125	0.125
a	4171	0.0	0.375
a	4296	0.0	0.125
a	4413	0.0	0.0
a	4615	0.0	0.0
a	4723	0.0	0.0
a	4817	0.0	0.0
a	4980	0.125	0.25
a	5107	0.375	0.0
a	5205	0.625	0.0
a	5473	0.625	0.25
a	5599	0.5	0.5
a	5718	0.5	0.0
a	5839	0.5	0.0
a	6032	0.125	0.625
a	6245	0.0	0.125
a	6336	0.25	0.25
a	6777	0.375	0.125
a	6885	0.375	0.125
a	7096	0.25	0.125
a	7208	0.25	0.125
a	7331	0.375	0.125
a	7516	0.25	0.125
a	7697	0.25	0.0
a	7813	0.375	0.375
a	7990	0.125	0.625
a	8206	0.125	0.0
a	8443	0.25	0.125
a	8595	0.0	0.0
a	8734	0.375	0.0
a	8877	0.25	0.0
a	9046	0.375	0.25
a	9346	0.125	0.25
a	9618	0.375	0.375
a	9978	0.25	0.125
a	10385	0.25	0.0
a	10537	0.25	0.5
a	10726	0.375	0.25
a	11160	0.375	0.125
a	11327	0.25	0.0
a	11665	0.375	0.25
a	11757	0.0	0.0
a	12071	0.125	0.125
a	12362	0.375	0.125
a	12689	0.25	0.0
a	12932	0.375	0.25
a	13160	0.5	0.125
a	13442	0.5	0.0
a	13662	0.5	0.0
a	13887	0.625	0.0
a	14358	0.5	0.0
a	14490	0.625	0.0
a	14858	0.375	0.0
a	15097	0.375	0.125
a	15247	0.5	0.0
a	15480	0.5	0.125
a	15589	0.5	0.375
a	15720	0.625	0.0
a	15854	0.625	0.0
a	16005	0.5	0.125
a	16135	0.5	0.0
a	16247	0.625	0.0
a	16350	0.5	0.125
a	16532	0.5	0.0
a	16647	0.625	0.0
a	16756	0.0	0.625
a	17024	0.0	0.375
a	17186	0.25	0.5
a	17352	0.375	0.625
a	17509	0.375	0.25
a	17688	0.5	0.25
a	17782	0.875	0.0
a	18069	0.875	0.0
a	18222	0.875	0.125
a	18435	0.75	0.25
a	18584	0.0	1.0
a	18850	0.0	0.75
a	19131	0.625	0.0
a	19349	0.625	0.125
a	19505	0.625	0.0
a	19731	0.625	0.0
a	19874	0.375	0.375
a	20103	0.25	0.25
a	20241	0.25	0.375
a	20410	0.25	0.125
a	20647	0.375	0.375
a	20787	0.75	0.125
a	21110	0.75	0.125
a	21403	0.0	0.875
a	21592	0.125	0.75
a	21766	0.625	0.0
a	22219	0.75	0.0
a	22437	0.625	0.0
a	22680	0.625	0.0
a	22852	0.625	0.0
a	22962	0.625	0.0
a	23120	0.5	0.0
a	23278	0.625	0.0
a	23383	0.0	0.75
a	23655	0.125	0.125
a	23854	0.375	0.375
a	24139	0.0	0.875
a	24241	0.125	0.375
a	24417	0.375	0.125
a	24619	0.375	0.0
a	24834	0.25	0.625
a	24996	0.25	0.625
a	25138	0.25	0.25
a	25238	0.375	0.0
a	25470	0.25	0.0
a	25633	0.375	0.0
a	25728	0.125	0.125
