source,target,count
Juan Berjano,Asturgalicia,1
Josep-Llu�s,FC_actu,1
B de BARDO,ceciazul,1
Elvis Hibbert T B.,Mrenatopereira,1
Rosencrantz,attacmadrid,1
Jean-Luc,Pablo_Iglesias_,1
Salva Mu�oz,JulianAssange,1
Arantxa Calder�n,elmundotoday,1
*SuzyStarr*,CatalansForYes,1
Noe.,norcoreano,1
Jofre Pou Ferr�s,javieroboe,1
X�nia Castelltort,JCICatalonia,1
ErrePulgar,adnradiochile,1
Jose Luis G�mez,europapress,1
Virginia Cruz,elnuevoherald,1
Jonathan Davis,j_c_boing,1
Tamborras,GeorgeKerevan,1
Lidia Mesa Rodr�guez,agarzon,1
Ramon Reig-Bola�o,ARA_mon,1
??????,garcijarvar,1
Ponchoide,EvilAFM,1
Rocio N��ez BCoronel,elmundoes,1
La T�a Eustaquia,MomentsES,1
Anims Bona Gent,larazon_es,1
Verdefamara,agarzon,2
@QPatxi,lamonasevistede,1
S??L Indignad?,StopMordazas,1
Jes�s Baldov�,Hibai_,1
DIEGO,bbcmundo,1
Rub�n ??,exteriorscat,1
Placeholder,agarzon,2
diego fernando rodri,Nanchinho,1
Gran Selecci�n,albertommoral,1
? Mereces saberlo ?,emboirada,1
Ricardo.,ActualidadRT,1
Marian Araujo,gerardotc,1
IU de Latina,agarzon,1
Mart� Ca�ellas,govern,1
Montse Cucurull,JulianAssange,1
DavidVG,IsaacParejo,1
Jordi Tirano,AnnaAnuska,1
Kim(y) Lechon Un,eldiarioes,1
AJdeP,Albert_Rivera,1
MichaelMITCHKnight,TheEconomist,1
ferda paksoy,ReportUK,1
Shadow Hunter,martargrane,5
olivier levant,LaVanguardia,1
Cucufo,SinEmbargoMX,1
carlos mendoza,MiguelUrban,1
DominiqueFrancon,JulianAssange,1
Antonio vasquez,DianaKristinne,1
?????????,Guerraeterna,1
Manuel Garcia,elmundoes,1
baucent ? ??,AUGC_Comunica,1
Araceli,helenaresano,1
Joan Bold�,DesInfoCAT,1
elizabeth,Herzogoff,1
Juan M. Herrera Real,jatirado,2
Mr. Gabo,giraltpablo,1
Toni Mart�,KRLS,1
Belinda Duro,agarzon,1
ArtNumerica.net,betaltarriba,1
OTAKO? ?,JosPastr,1
Avatar,KathyPennacchio,1
josep,XSalaimartin,1
Claudia Olivares ?,pictoline,1
change better world,RT_com,1
Cheick Diabate,FrenchFCB,1
Word-ing,govern,1
nuria alujas faraudo,KRLS,1
JohnnyWTF,Xuxipc,1
Inaldo Matias,Limportant_fr,1
Javier Castelltort,tv3cat,1
Day.,dxyren,1
Roberto Gastaldo,enough14,1
DW - Business,dwnews,1
Francesc R,FerranOtif,1
alejandra achue,ChuoTorrealba,1
Tim Pustacindi,JulianAssange,2
Begonya Matesanz,pabloMP2P,1
Rafael M��ez G�mez.,toniaira,1
nil_vialimit,FonsiLoaiza,1
Cristi Sol�s Anes,elmundotoday,1
El Viejo Topo,Guillemmartnez,1
Jorgee_Stras,_iamsteve_,1
Josefina,teleSURtv,1
Miquel Tubau,AnitaBotwin,1
Hector ||*||,juspursuit,1
hanny,9soro,1
JC,CatalansForYes,1
rinus hoogstad,NewMediaCentral,1
FCR,andros173,1
Ares L�ngstrump,SusodeToro1,1
mcmvir,Sanchez__Jesus,1
Cuphead Prince,nandorvila,1
Alison Gordon,AngusRobertson,1
Roger Destroyer,Ulldebou1,1
Elisa Broggi,324cat,1
manel17480,ForcadellCarme,1
Manel.,europapress,1
Juana La Sola,elnorte,1
Ricardo L�pez Port�,WillyTolerdoo,1
Roger Pall�,PPculpables,1
Yuki,isacrizch,1
MariCarmen,agarzon,1
Adri Pinkman ?,AnitaBotwin,1
Javier Moso,alquirurate,1
Xavier valenti,jordisanchezp,1
Barbi,aitor_AL98,1
?????,JulianAssange,1
Andr� Porres,Candeliano,1
blas,drago_xx,1
Salina,ancSuisse,1
Margarita.,dexamina,1
Jesus Medina,SanjuanaMtz,1
Caleb,LucasCruzado,1
Eli Wan Chernobil,revistamongolia,1
Alsi,marianorajoy,1
Perro AMERICANO,Anonymous_Prodi,2
Voyaveur,El_Conde_Chico,1
henry alberto,CNNEE,1
Kala Dandekar,1000GRAMOS,1
El xotet ||*|| 1O S�,DavidMeseguer,1
Jennyfer mejia,elchiringuitotv,1
Yuncos S� puede,jmkarg,1
jordidelcor,naciodigital,1
assumpta,ErnestoEkaizer,1
David Ramone,SOMgramenet,1
VEL  ??,hermanntertsch,1
JORDI IBA�EZ NIELLES,AngusRobertson,1
marta pint� vilamosa,Irene_Montero_,1
El Portu,TroyanoPay,1
Ester Barrera,BBCWorld,1
Nameless Horror,davidallengreen,1
Arya Porculera,Rod_Black_Snow,1
Tripleseco.,Podemos_AND,1
Isidre Casals,DFPValls,1
Monte,frandepan,1
mikelomagnum,RaphaelMinder,1
M�nica Guix,jordievole,1
GSG,mquiero,1
#CiaoBarto,SkyNewsBreak,1
?JuanMixD?,marianorajoy,1
MAVEDO,AristeguiOnline,1
V. Diaz,20m,1
Corrado.Petruzzella.,matteosalvinimi,1
Feather,Carlos_Manzana,1
Deplorable Peter,V_of_Europe,1
cal feliu,XSalaimartin,1
Carmen,PlanetaEskoria_,1
?,_fcbcn,1
Drys,Garciaporca,1
Cui Prodest,iguardans,1
Vicente Guerrero,Kasparov63,1
Benjamin Lavin Perez,rogeriera8,1
Francisco Martinez,el_pais,1
ASOMA GARCIA MARTIN,norcoreano,1
vallmy,lamarea_com,1
Sara,RT_com,1
Dami�n Prat C,edoilustrado,1
Adela Isabel Vila,ierrejon,1
Hija de Ivan,bbcmundo,1
Pere Tuset,diariARA,1
Rosa ||*|| 1-O,JulianAssange,1
So�ando despierta,Rafa_GLM,1
Lady Cohle,japtapias,1
Mona vanderSmitte ?,tijd,1
Johnny,FT,1
ComentandoRealitys?,javipineirof,1
Cristina ||*||,diariARA,1
