term;count
rajoy;93358
cataluña;83722
referéndum;79491
espana;25994
hoy;17537
puigdemont;12719
votar;12205
decir;10575
represi;15085
herir;9808
gobernar;9074
poder;19023
perder;18813
provocar;8463
policial;20885
violencia;7413
cobarde;7038
valer;16838
pedro;6495
inepto;6481
amable;6395
davidbroncano;6294
mentiroso;6272
brutal;6231
chiste;6136
desas;6126
independencia;6008
democracia;6000
querer;5759
donar;5442
ilegal;5360
verg;5292
hablar;4856
ver;4793
presidente;4768
pasar;4620
deber;4570
comenzar;4456
aceptar;4406
especial;4391
civil;4312
ciudadano;4287
gente;4035
mirar;3964
europa;13852
madurar;3798
agarzon;3743
guardia;3728
prensar;3630
poblar;3612
recoger;3578
tras;3574
defender;3475
solar;3398
apoyar;3398
internacional;3382
preguntar;3311
pensar;3220
partir;3217
salir;3194
mismo;3176
puerta;3154
venezuela;2997
madrid;2865
dimisión;2851
